Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Название товара;Ссылка на товар;Бренд;Категория 1 уровня;Категория 3 уровня;Super-товар;Заказано на сумму, ₽;Динамика оборота, %;Заказано, штуки;Минимальная цена, ₽;Средняя цена, ₽;Упущенные продажи, ₽;Доступность, %;Среднесуточные продажи, ₽;Среднесуточные продажи, штуки;Схема работы;Сроки доставки, дни;Объем товара, л;Доля затрат на Ozon, FBO, %;Доля затрат на Ozon, FBS, %;Просмотры в поиске и каталоге;Просмотры карточки;В корзину из поиска и каталога, %;В корзину из карточки, %;Доля рекламных расходов, %;Доля выкупа, %;Дата создания карточки товара
Костюм классический;https://www.ozon.ru/product/1648068293;без бренда;Одежда;Костюм классический;Да;4646074;121;1339;2375.3;3470;0;100;160357;46;FBO,FBS;4;12.7;24;33.5;659828;65034;0.06;8.36;0.9;37.5;2024-08-04
Пальто Dene;https://www.ozon.ru/product/1419797222;Dene;Одежда;Пальто;Да;4139512;11;540;5373.8;7666;148370;96;148370;19;FBO;4;16.5;21.7;30.5;230346;32074;0.01;5.24;1;34.1;2024-02-10
Куртка Shop Of Dom;https://www.ozon.ru/product/1611376065;Shop Of Dom;Одежда;Куртка;Да;4116520;188;1122;2342.3;3669;148837;96;148837;40;FBO;5;19.2;25.4;35.2;837637;57939;0.04;7.68;0;48.7;2024-06-22
Пальто Dene;https://www.ozon.ru/product/1419788543;Dene;Одежда;Пальто;Да;4095972;37;555;6218;7380;0;100;140465;19;FBO;4;16.5;22;30.8;278624;34039;0.02;5.59;0.9;34.9;2024-02-10
Костюм классический TRENDYCLO;https://www.ozon.ru/product/1680388750;TRENDYCLO;Одежда;Костюм классический;Да;3970899;792;1174;2267.3;3382;0;100;140790;42;FBO;4;10;23.1;32.5;3131313;165504;0.01;4.18;1.9;44.6;2024-09-03
Пальто Dene;https://www.ozon.ru/product/1419796878;Dene;Одежда;Пальто;Да;3798583;4;463;6106;8204;0;100;130078;16;FBO;4;28.9;22.4;31.4;153727;20100;0.02;7.51;0.8;33.6;2024-02-10
Легинсы Стильная мануфактура;https://www.ozon.ru/product/1615794249;Стильная мануфактура;Одежда;Легинсы;Да;3678275;250;4102;1;897;0;100;129686;144;FBO;4;3;27.5;40;261856;49342;0.25;19.51;1.8;82.5;2024-06-28
Куртка artModa;https://www.ozon.ru/product/1410906960;artModa;Одежда;Куртка;Да;3591030;123;748;3478.5;4801;0;100;124944;26;FBO;4;18.1;23.7;33;598918;38272;0.01;6.49;1.5;50.6;2024-01-31
Пальто Dene;https://www.ozon.ru/product/1419780462;Dene;Одежда;Пальто;Да;3558549;46;480;5471.3;7414;0;100;121352;16;FBO;4;26.9;23;32.1;269374;27698;0.01;5.26;0.2;39.9;2024-02-10
Легинсы Стильная мануфактура;https://www.ozon.ru/product/1615794423;Стильная мануфактура;Одежда;Легинсы;Да;3391219;244;3797;1;893;0;100;119563;133;FBO;4;3;27.5;39.9;565517;81841;0.08;13.21;42.8;82;2024-06-28
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132912328;TWOGOAT;Одежда;Костюм спортивный;Да;3293404;123;846;794;3893;0;100;115685;30;FBO;4;12;23.3;32.6;219680;19604;0.02;9.48;0.7;61;2023-08-13
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132912429;TWOGOAT;Одежда;Костюм спортивный;Да;3237956;90;828;2913;3911;117277;96;117277;30;FBO;4;17.3;24.5;34.1;270725;18584;0.02;9.65;1.6;63;2023-08-13
Комплект одежды;https://www.ozon.ru/product/1271260535;без бренда;Одежда;Комплект одежды;Нет;3148559;-8;6350;1;496;0;100;111071;223;FBO;3;2.5;34.2;50.3;4180434;202558;0.05;8.35;3.7;77.1;2023-11-02
Пальто Dene;https://www.ozon.ru/product/1419788608;Dene;Одежда;Пальто;Да;3084961;19;376;6239;8205;0;100;105941;13;FBO;4;17.3;21.2;30;155447;18609;0.02;7.64;0.6;34.3;2024-02-10
Свитер «Manolo Wear»;https://www.ozon.ru/product/735306847;«Manolo Wear»;Одежда;Свитер;Да;3069360;112;1938;218;1584;0;100;107582;68;FBO;5;8.6;26.8;37.8;708196;67907;0.05;8.83;0.4;66;2022-10-05
Куртка BRADLY;https://www.ozon.ru/product/1462500412;BRADLY;Одежда;Куртка;Да;3014751;67;845;39.1;3568;0;100;104855;29;FBO;3;12.4;24;33.5;973928;89258;0.02;4.33;12.4;45.2;2024-03-10
Свитер SAXAR SHOWROOM;https://www.ozon.ru/product/1582871204;SAXAR SHOWROOM;Одежда;Свитер;Да;2985919;82;2077;1;1438;0;100;104510;72;FBO;4;3.2;24.7;35.3;2713081;107466;0.04;6.48;0.5;63.2;2024-05-23
Костюм спортивный TWOGOAT Из футера с начесом;https://www.ozon.ru/product/1132912484;TWOGOAT;Одежда;Костюм спортивный;Да;2940556;105;754;2904.8;3900;0;100;103647;26;FBO;4;21.6;25.3;35;227600;14088;0.01;11.64;5.2;61.7;2023-08-13
Свитер Upward Movement;https://www.ozon.ru/product/1677505646;Upward Movement;Одежда;Свитер;Да;2918192;476;1447;547;2017;107688;96;107688;53;FBO;3;4.3;23.6;33.5;754961;79519;0.05;6.85;5.3;61.3;2024-09-01
Костюм спортивный;https://www.ozon.ru/product/1686559282;без бренда;Одежда;Костюм спортивный;Да;2886013;752;943;1;3060;0;100;100285;33;FBS;6;1;21.3;30.4;223046;43891;0.04;6.44;8.6;60;2024-09-08
Пальто SLN;https://www.ozon.ru/product/455532779;SLN;Одежда;Пальто;Да;2789603;279;848;1745.3;3290;0;100;98081;30;FBO;5;9.9;23.2;32.6;156242;72143;0.04;3.32;0;36.4;2022-01-04
Куртка artModa;https://www.ozon.ru/product/1410913565;artModa;Одежда;Куртка;Да;2776861;118;673;2450.3;4126;0;100;95171;23;FBO;4;7.7;22.3;31.4;487097;32517;0.01;6.29;3.1;54;2024-01-31
Легинсы Стильная мануфактура;https://www.ozon.ru/product/1620495795;Стильная мануфактура;Одежда;Легинсы;Да;2763220;242;2820;711;980;0;100;97238;99;FBO;4;3;26.9;38.9;321263;40600;0.11;18.8;2.9;81.1;2024-07-04
Пальто SLN;https://www.ozon.ru/product/1198312951;SLN;Одежда;Пальто;Да;2717327;246;823;1745.3;3302;0;100;96056;29;FBO;4;25.4;26.8;36.9;236791;27449;0.03;6.69;0;36.2;2023-09-19
Свитер SAXAR SHOWROOM;https://www.ozon.ru/product/1631954800;SAXAR SHOWROOM;Одежда;Свитер;Да;2700887;138;1880;1;1437;0;100;93248;65;FBO;4;3.2;24.7;35.3;1515019;60804;0.04;8.92;0.5;61.7;2024-07-18
Пальто LOVINI Осень;https://www.ozon.ru/product/1629819506;LOVINI;Одежда;Пальто;Да;2661041;151;452;4584;5887;0;100;93402;16;FBO;3;16.5;22.7;31.7;259497;29879;0.02;4.06;4.3;35.7;2024-07-16
Свитер GRAFF Укороченные;https://www.ozon.ru/product/1673310247;GRAFF;Одежда;Свитер;Да;2636677;2079;1025;1;2572;95714;96;95714;37;FBO;4;4.5;22.8;32.3;735783;46132;0.04;8.42;2.5;45.8;2024-08-28
Свитер SAXAR SHOWROOM;https://www.ozon.ru/product/875921298;SAXAR SHOWROOM;Одежда;Свитер;Да;2612917;100;1979;723.8;1320;95888;96;95888;72;FBO;4;4;25.1;36;2657559;95807;0.03;7.52;0.3;61.4;2023-02-26
Костюм спортивный;https://www.ozon.ru/product/1686559043;без бренда;Одежда;Костюм спортивный;Да;2553973;627;811;322.6;3149;0;100;88615;28;FBS;6;9.8;23.5;33;143356;27469;0.05;7.78;8;57;2024-09-08
